Date,Shadow Value,Market Value,Equity Curve
2004-08-26,12142.00,12142.00,11800.95
2004-09-02,12516.03,12516.03,11843.43
2004-09-09,12452.02,12452.02,11885.87
2004-09-16,12774.07,12774.07,11932.92
2004-09-23,12765.04,12765.04,11966.60
2004-09-30,12828.70,12828.70,12000.71
2004-10-07,13005.05,13005.05,12037.01
2004-10-14,12734.15,12734.15,12066.27
2004-10-21,12978.00,12978.00,12100.20
2004-10-28,13180.81,13180.81,12141.00
2004-11-04,13614.78,13614.78,12196.68
2004-11-11,13537.38,13537.38,12247.27
2004-11-18,13876.29,13876.29,12298.97
2004-11-24,13914.42,13914.42,12352.28
2004-12-02,14102.82,14102.82,12406.83
2004-12-09,13620.58,13620.58,12448.73
2004-12-16,13802.27,13802.27,12489.02
2004-12-23,14147.82,14147.82,12525.84
2004-12-30,14240.15,14240.15,12566.90
2005-01-06,14226.33,14226.33,12601.26
2005-01-13,14390.99,14390.99,12649.91
2005-01-20,14254.47,14254.47,12695.18
2005-01-27,14294.91,14294.91,12731.47
2005-02-03,14239.08,14239.08,12761.08
2005-02-10,14338.47,14338.47,12794.60
2005-02-17,14370.37,14370.37,12829.05
2005-02-24,14320.35,14320.35,12870.87
2005-03-03,14387.73,14387.73,12905.73
2005-03-10,14614.61,14614.61,12946.68
2005-03-17,14499.57,14499.57,12980.76
2005-03-24,14182.92,14182.92,13008.39
2005-03-31,13967.15,13967.15,13040.50
2005-04-07,14101.27,14101.27,13073.13
2005-04-14,13917.27,13917.27,13114.09
2005-04-21,13841.24,13841.24,13151.83
2005-04-28,13738.52,13738.52,13201.34
2005-05-05,14277.52,14277.52,13262.06
2005-05-12,14076.36,14076.36,13308.39
2005-05-19,14004.74,14004.74,13359.15
2005-05-26,13879.96,13879.96,13402.08
2005-06-02,13952.27,13952.27,13449.20
2005-06-09,14134.70,14134.70,13494.63
2005-06-16,14192.67,14192.67,13540.61
2005-06-23,14234.90,14234.90,13579.95
2005-06-30,14084.58,14084.58,13617.79
2005-07-07,14056.03,14056.03,13657.29
2005-07-14,14349.62,14349.62,13704.85
2005-07-21,14995.88,14995.88,13763.87
2005-07-28,14835.29,14835.29,13822.28
2005-08-04,14881.00,14881.00,13877.46
2005-08-11,15199.60,15199.60,13938.61
2005-08-18,14920.69,14920.69,13986.71
2005-08-25,15026.89,15026.89,14038.21
2005-09-01,15095.01,15095.01,14084.62
2005-09-08,15081.54,15081.54,14130.95
2005-09-15,15342.69,15342.69,14181.23
2005-09-22,15343.35,15343.35,14228.00
2005-09-29,15755.88,15755.88,14288.43
2005-10-06,15101.55,15101.55,14330.91
2005-10-13,15425.50,15425.50,14375.80
2005-10-20,14833.53,14833.53,14400.17
2005-10-27,14920.59,14920.59,14427.84
2005-11-03,15485.74,15485.74,14460.03
2005-11-10,15316.19,15316.19,14488.06
2005-11-17,15261.46,15261.46,14511.24
2005-11-23,15497.54,15497.54,14548.78
2005-12-01,15483.38,15483.38,14582.40
2005-12-08,15551.63,15551.63,14610.47
2005-12-15,15664.47,15664.47,14638.96
2005-12-22,15750.23,15750.23,14669.44
2005-12-29,15778.50,15778.50,14697.19
2006-01-05,16293.12,16293.12,14737.96
2006-01-12,16456.05,16456.05,14781.18
2006-01-19,16365.77,16365.77,14823.72
2006-01-26,16641.23,16641.23,14869.77
2006-02-02,16634.33,16634.33,14915.05
2006-02-09,16674.47,16674.47,14962.13
2006-02-16,16743.22,16743.22,15009.24
2006-02-23,16828.16,16828.16,15053.52
2006-03-02,16993.41,16993.41,15103.39
2006-03-09,16878.76,16878.76,15157.31
2006-03-16,17247.16,17247.16,15222.91
2006-03-23,17175.49,17175.49,15284.39
2006-03-30,17372.86,17372.86,15353.51
2006-04-06,17606.29,17606.29,15428.81
2006-04-13,17559.49,17559.49,15505.23
2006-04-20,17991.44,17991.44,15579.50
2006-04-27,18167.25,18167.25,15661.32
2006-05-04,18667.32,18667.32,15754.57
2006-05-11,18709.63,18709.63,15851.17
2006-05-18,17811.22,17811.22,15928.35
2006-05-25,17562.52,17562.52,15996.90
2006-06-01,17525.53,17525.53,16063.56
2006-06-08,16713.21,16713.21,16113.13
2006-06-15,16996.61,16996.61,16171.37
2006-06-22,16919.21,16919.21,16228.63
2006-06-29,17400.92,17400.92,16289.66
2006-07-06,17577.14,17577.14,16341.28
2006-07-13,17036.92,17036.92,16385.31
2006-07-20,17083.79,17083.79,16429.37
2006-07-27,17648.52,17648.52,16478.35
2006-08-03,17759.45,17759.45,16535.12
2006-08-10,17948.94,17948.94,16593.56
2006-08-17,18058.86,18058.86,16652.84
2006-08-24,17983.50,17983.50,16710.88
2006-08-31,18279.69,18279.69,16769.62
2006-09-07,18214.56,18214.56,16827.04
2006-09-14,18231.35,18231.35,16876.55
2006-09-21,18307.40,18307.40,16940.67
2006-09-28,18469.19,18469.19,17001.54
2006-10-05,18784.83,18784.83,17080.57
2006-10-12,19006.04,19006.04,17162.28
2006-10-19,19176.31,19176.31,17236.09
2006-10-26,19631.38,19631.38,17322.40
2006-11-02,19673.61,19673.61,17410.64
2006-11-09,20001.82,20001.82,17500.72
2006-11-16,20226.31,20226.31,17595.58
2006-11-22,20441.03,20441.03,17693.37
2006-11-30,20881.15,20881.15,17797.70
2006-12-07,21234.37,21234.37,17907.39
2006-12-14,21430.81,21430.81,18020.43
2006-12-21,20628.87,20628.87,18107.15
2006-12-28,21057.41,21057.41,18199.17
2007-01-04,21389.17,21389.17,18299.64
2007-01-11,21024.54,21024.54,18387.31
2007-01-18,21574.25,21574.25,18486.11
2007-01-25,21838.83,21838.83,18589.39
2007-02-01,22279.44,22279.44,18700.12
2007-02-08,22831.32,22831.32,18820.18
2007-02-15,23021.38,23021.38,18940.74
2007-02-22,23173.89,23173.89,19066.64
2007-03-01,21406.67,21406.67,19149.83
2007-03-08,21921.46,21921.46,19244.75
2007-03-15,21729.91,21729.91,19331.90
2007-03-22,22922.58,22922.58,19438.22
2007-03-29,22855.06,22855.06,19544.13
